,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
3911,3911,0.0,0.9149544,"[(0, 0.9149545), (1, 0.028205885), (2, 0.028795242), (3, 0.02804438)]"
3912,3912,0.0,0.34982324,"[(0, 0.34982324), (1, 0.30878064), (2, 0.032729227), (3, 0.30866694)]"
3913,3913,2.0,0.777166,"[(0, 0.16336732), (1, 0.03164884), (2, 0.777166), (3, 0.027817864)]"
3914,3914,1.0,0.6536337,"[(0, 0.020171175), (1, 0.6536337), (2, 0.019378364), (3, 0.3068167)]"
3915,3915,0.0,0.87181515,"[(0, 0.8718152), (1, 0.04258521), (2, 0.042321686), (3, 0.04327795)]"
3916,3916,1.0,0.5097052,"[(0, 0.21173596), (1, 0.5097052), (2, 0.2599242), (3, 0.018634617)]"
3917,3917,2.0,0.50636125,"[(0, 0.43574575), (1, 0.03011354), (2, 0.50636125), (3, 0.027779497)]"
3918,3918,3.0,0.87459534,"[(0, 0.01686164), (1, 0.016928203), (2, 0.09161481), (3, 0.87459534)]"
3919,3919,3.0,0.3922801,"[(0, 0.17965814), (1, 0.24356249), (2, 0.18449928), (3, 0.3922801)]"
3920,3920,0.0,0.6297621,"[(0, 0.6297621), (1, 0.24391751), (2, 0.1039894), (3, 0.022330983)]"
3921,3921,2.0,0.6533215,"[(0, 0.036621355), (1, 0.27329165), (2, 0.6533215), (3, 0.036765497)]"
3922,3922,0.0,0.5327807,"[(0, 0.5327807), (1, 0.15275936), (2, 0.032328777), (3, 0.28213122)]"
3923,3923,2.0,0.5430098,"[(0, 0.31180462), (1, 0.080353945), (2, 0.5430098), (3, 0.06483164)]"
3924,3924,1.0,0.6607365,"[(0, 0.017081913), (1, 0.6607365), (2, 0.30535793), (3, 0.016823636)]"
3925,3925,1.0,0.8247576,"[(0, 0.025361057), (1, 0.8247576), (2, 0.027684668), (3, 0.122196674)]"
3926,3926,0.0,0.48869008,"[(0, 0.48869005), (1, 0.45872274), (2, 0.026075032), (3, 0.026512202)]"
3927,3927,3.0,0.73895884,"[(0, 0.21764901), (1, 0.021636501), (2, 0.021755602), (3, 0.73895884)]"
3928,3928,3.0,0.54397714,"[(0, 0.06250463), (1, 0.3310136), (2, 0.06250466), (3, 0.54397714)]"
3929,3929,2.0,0.5084015,"[(0, 0.06155417), (1, 0.3785072), (2, 0.5084015), (3, 0.051537156)]"
3930,3930,1.0,0.6974481,"[(0, 0.20417972), (1, 0.6974481), (2, 0.020850152), (3, 0.07752202)]"
3931,3931,1.0,0.3962717,"[(0, 0.28962356), (1, 0.3962717), (2, 0.28876022), (3, 0.025344515)]"
3932,3932,1.0,0.56119275,"[(0, 0.06422689), (1, 0.56119275), (2, 0.31207186), (3, 0.062508516)]"
3933,3933,0.0,0.75016063,"[(0, 0.75016063), (1, 0.035766143), (2, 0.03575902), (3, 0.1783142)]"
3934,3934,1.0,0.93038213,"[(0, 0.022728153), (1, 0.93038213), (2, 0.02318908), (3, 0.023700608)]"
3935,3935,3.0,0.5245671,"[(0, 0.30905914), (1, 0.02273011), (2, 0.14364362), (3, 0.5245671)]"
3936,3936,1.0,0.49698472,"[(0, 0.42854452), (1, 0.49698472), (2, 0.035969116), (3, 0.03850165)]"
3937,3937,3.0,0.62823236,"[(0, 0.3202793), (1, 0.025855541), (2, 0.025632814), (3, 0.62823236)]"
3938,3938,3.0,0.49868616,"[(0, 0.019461371), (1, 0.46506163), (2, 0.01679081), (3, 0.49868616)]"
3939,3939,1.0,0.8065189,"[(0, 0.025226116), (1, 0.8065189), (2, 0.14311597), (3, 0.02513893)]"
